Mentions Trend

Mentions Trend
Date,Count
"2023-08-10 00:00:00",321,
"2023-08-11 00:00:00",274,
"2023-08-12 00:00:00",182,
"2023-08-13 00:00:00",258,
"2023-08-14 00:00:00",338,
"2023-08-15 00:00:00",304,
"2023-08-16 00:00:00",391,
"2023-08-17 00:00:00",385,
"2023-08-18 00:00:00",204,
"2023-08-19 00:00:00",190,
"2023-08-20 00:00:00",124,
"2023-08-21 00:00:00",179,
"2023-08-22 00:00:00",467,
"2023-08-23 00:00:00",363,
"2023-08-24 00:00:00",259,
"2023-08-25 00:00:00",189,
"2023-08-26 00:00:00",285,
"2023-08-27 00:00:00",112,
"2023-08-28 00:00:00",100,
"2023-08-29 00:00:00",222,
"2023-08-30 00:00:00",175,
"2023-08-31 00:00:00",285,
"2023-09-01 00:00:00",207,
"2023-09-02 00:00:00",137,
"2023-09-03 00:00:00",235,
"2023-09-04 00:00:00",174,
"2023-09-05 00:00:00",212,
"2023-09-06 00:00:00",169,
"2023-09-07 00:00:00",425,
"2023-09-08 00:00:00",192,
"2023-09-09 00:00:00",152,
"2023-09-10 00:00:00",114,
"2023-09-11 00:00:00",222,
"2023-09-12 00:00:00",256,
"2023-09-13 00:00:00",193,
"2023-09-14 00:00:00",185,
"2023-09-15 00:00:00",95,
"2023-09-16 00:00:00",125,
"2023-09-17 00:00:00",151,
"2023-09-18 00:00:00",304,
"2023-09-19 00:00:00",271,
"2023-09-20 00:00:00",329,
"2023-09-21 00:00:00",215,
"2023-09-22 00:00:00",296,
"2023-09-23 00:00:00",244,
"2023-09-24 00:00:00",168,
"2023-09-25 00:00:00",404,
"2023-09-26 00:00:00",590,
"2023-09-27 00:00:00",723,
"2023-09-28 00:00:00",453,
"2023-09-29 00:00:00",315,
"2023-09-30 00:00:00",312,
"2023-10-01 00:00:00",2989,
"2023-10-02 00:00:00",1748,
"2023-10-03 00:00:00",944,
"2023-10-04 00:00:00",1366,
"2023-10-05 00:00:00",838,
"2023-10-06 00:00:00",436,
"2023-10-07 00:00:00",345,
"2023-10-08 00:00:00",1674,
"2023-10-09 00:00:00",776,
"2023-10-10 00:00:00",273,
"2023-10-11 00:00:00",568,
"2023-10-12 00:00:00",297,
"2023-10-13 00:00:00",361,
"2023-10-14 00:00:00",463,
"2023-10-15 00:00:00",190,
"2023-10-16 00:00:00",356,
"2023-10-17 00:00:00",1090,
"2023-10-18 00:00:00",735,
"2023-10-19 00:00:00",758,
"2023-10-20 00:00:00",0,

